time,vertical
40.809,-3.20E-02
40.843,-2.92E-02
40.876,-2.58E-02
40.91,-2.18E-02
40.944,-1.78E-02
40.978,-1.30E-02
41.011,-8.51E-03
41.045,-3.44E-03
41.079,1.86E-03
41.113,6.93E-03
41.146,1.17E-02
41.18,1.61E-02
41.214,2.09E-02
41.248,2.47E-02
41.281,2.87E-02
41.315,3.19E-02
41.349,3.48E-02
41.383,3.66E-02
41.416,3.82E-02
41.45,3.91E-02
41.484,3.93E-02
41.518,3.90E-02
41.552,3.83E-02
41.585,3.66E-02
41.619,3.41E-02
41.653,3.12E-02
41.687,2.78E-02
41.72,2.42E-02
41.754,2.02E-02
41.788,1.52E-02
41.822,1.04E-02
41.855,5.71E-03
41.889,9.83E-04
41.923,-3.44E-03
41.957,-8.81E-03
41.99,-1.32E-02
42.024,-1.72E-02
42.058,-2.14E-02
42.092,-2.48E-02
42.125,-2.80E-02
42.159,-3.06E-02
42.193,-3.26E-02
42.227,-3.41E-02
42.26,-3.49E-02
42.294,-3.54E-02
42.328,-3.51E-02
42.362,-3.45E-02
42.395,-3.31E-02
42.429,-3.10E-02
42.463,-2.82E-02
42.497,-2.52E-02
42.53,-2.17E-02
42.564,-1.79E-02
42.598,-1.36E-02
42.632,-8.98E-03
42.665,-4.38E-03
42.699,3.04E-04
42.733,5.07E-03
42.767,9.87E-03
42.8,1.42E-02
42.834,1.84E-02
42.868,2.27E-02
42.902,2.60E-02
42.935,2.93E-02
42.969,3.20E-02
43.003,3.43E-02
43.037,3.56E-02
43.07,3.66E-02
43.104,3.70E-02
43.138,3.67E-02
43.172,3.58E-02
43.205,3.43E-02
43.239,3.23E-02
43.273,2.94E-02
43.307,2.61E-02
43.34,2.28E-02
43.374,1.87E-02
43.408,1.43E-02
43.442,9.69E-03
43.476,5.37E-03
43.509,6.73E-04
43.543,-3.88E-03
